,Title,Rating,Number of User Reviews,Year,Duration,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,Unknown,War,Western,Cluster
80,The Bride of Frankenstein,7.9,52.0,1935,75,"['Drama', 'Horror', 'Sci-Fi']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6
81,Don't Look Now,6.9,54.0,1973,110,"['Drama', 'Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6
82,The Social Network,8.2,2343.0,2010,120,"['Biography', 'Drama']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
83,My Fair Lady,7.6,60.0,1964,170,"['Drama', 'Family', 'Musical', 'Romance']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
84,Portrait of a Lady on Fire,8.6,384.0,2019,122,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
85,I Am Not Your Negro,5.3,211.0,2016,93,"['Documentary', 'History']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Woodstock,8.4,15.0,1970,184,"['Documentary', 'History', 'Music']",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
87,Do Not Expect Too Much From the End of the World,6.6,57.0,2024,163,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,Aftersun,8.0,234.0,2022,98,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
89,Rocks,6.7,48.0,2021,93,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
